thr,sensitivity,specificity,precision,npv,accuracy,f1,brier,tp,fp,tn,fn
0.89,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.9,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.91,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.92,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.93,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.9400000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.9500000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.9600000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.97,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.98,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.99,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
